,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,symbol,Date,Close,High,Low,Open,Volume,change_in_price,Signal_Flag,down_days,up_days,RSI
0,0,0,0,ARWR,2019-10-02,28.920000076293945,29.45000076293945,27.114999771118164,27.85000038146973,1350900,,,,,
1,1,1,1,ARWR,2019-10-03,29.920000076293945,29.940000534057607,28.26000022888184,29.29999923706055,883800,1.0,,0.0,1.0,100.0
2,2,2,2,ARWR,2019-10-04,30.60000038146973,30.68000030517578,29.54999923706055,29.61000061035156,898500,0.6800003051757812,,0.0,0.6800003051757812,100.0
3,3,3,3,ARWR,2019-10-07,31.82999992370605,32.03300094604492,30.433000564575195,30.6299991607666,1244900,1.229999542236328,,0.0,1.229999542236328,100.0
4,4,4,4,ARWR,2019-10-08,31.479999542236328,32.220001220703125,31.145000457763672,31.51000022888184,1218000,-0.35000038146972656,,0.35000038146972656,0.0,86.42208798580184
5,5,5,5,ARWR,2019-10-09,31.229999542236328,32.439998626708984,31.09000015258789,32.130001068115234,806600,-0.25,,0.25,0.0,77.72429297612234
6,6,6,6,ARWR,2019-10-10,32.0,32.11999893188477,31.14800071716309,31.28000068664551,922200,0.7700004577636719,,0.0,0.7700004577636719,83.5927018454095
7,7,7,7,ARWR,2019-10-11,32.549999237060554,32.860000610351555,31.82999992370605,32.290000915527344,1071400,0.5499992370605469,,0.0,0.5499992370605469,86.51961686742786
8,8,8,8,ARWR,2019-10-14,32.97999954223633,33.5,32.05500030517578,32.509998321533196,851400,0.4300003051757813,,0.0,0.4300003051757813,88.38825466556976
9,9,9,9,ARWR,2019-10-15,34.345001220703125,34.388999938964844,33.21500015258789,33.25,825700,1.3650016784667969,,0.0,1.3650016784667969,92.29853902676318
10,10,10,10,ARWR,2019-10-16,34.509998321533196,34.740001678466804,34.04399871826172,34.25,952100,0.16499710083007812,,0.0,0.16499710083007812,92.64403388862388
11,11,11,11,ARWR,2019-10-17,36.599998474121094,37.33000183105469,34.509998321533196,34.970001220703125,2397300,2.09000015258789,,0.0,2.09000015258789,95.55711046316301
12,12,12,12,ARWR,2019-10-18,35.95000076293945,38.75,35.599998474121094,36.88999938964844,3643900,-0.6499977111816406,,0.6499977111816406,0.0,83.66714610470919
13,13,13,13,ARWR,2019-10-21,36.5,36.88999938964844,35.029998779296875,36.36999893188477,1381600,0.5499992370605469,,0.0,0.5499992370605469,85.43637926638054
14,14,14,14,ARWR,2019-10-22,38.974998474121094,39.25,36.88000106811523,37.11999893188477,2033400,2.4749984741210938,,0.0,2.4749984741210938,90.67898312878982
15,15,15,15,ARWR,2019-10-23,39.650001525878906,40.09000015258789,38.0,38.88999938964844,1676100,0.6750030517578125,,0.0,0.6750030517578125,91.62743425523828
16,16,16,16,ARWR,2019-10-24,36.86999893188477,38.86999893188477,36.38000106811523,38.810001373291016,2169500,-2.7800025939941406,,2.7800025939941406,0.0,61.76239162408315
17,17,17,17,ARWR,2019-10-25,38.54999923706055,39.40999984741211,36.89899826049805,36.900001525878906,1427600,1.6800003051757812,,0.0,1.6800003051757812,68.84346151332674
18,18,18,18,ARWR,2019-10-28,39.2599983215332,39.4900016784668,38.28300094604492,38.810001373291016,958100,0.7099990844726562,,0.0,0.7099990844726562,71.42397597408309
19,19,19,19,ARWR,2019-10-29,39.900001525878906,40.29600143432617,39.0,39.349998474121094,1089900,0.6400032043457031,,0.0,0.6400032043457031,73.6904117341795
20,20,20,20,ARWR,2019-10-30,40.02999877929688,40.349998474121094,38.849998474121094,39.849998474121094,857400,0.12999725341796875,,0.0,0.12999725341796875,74.17053956482734
21,21,21,21,ARWR,2019-10-31,40.04999923706055,40.650001525878906,39.599998474121094,40.040000915527344,1161100,0.020000457763671875,,0.0,0.020000457763671875,74.25394745699572
22,22,22,22,ARWR,2019-11-01,41.47999954223633,41.63999938964844,39.93999862670898,40.290000915527344,1511800,1.4300003051757812,,0.0,1.4300003051757812,79.66990569009386
23,23,23,23,ARWR,2019-11-04,39.459999084472656,42.290000915527344,38.650001525878906,41.75,1848300,-2.020000457763672,,2.020000457763672,0.0,59.32814051739874
24,24,24,24,ARWR,2019-11-05,39.72999954223633,39.81999969482422,38.84000015258789,39.43999862670898,961300,0.2700004577636719,,0.0,0.2700004577636719,60.86904500438254
25,25,25,25,ARWR,2019-11-06,39.22000122070313,40.27999877929688,39.060001373291016,39.86999893188477,893800,-0.5099983215332031,,0.5099983215332031,0.0,56.22631462924136
26,26,26,26,ARWR,2019-11-07,39.599998474121094,40.15999984741211,38.88000106811523,39.63000106811523,877500,0.3799972534179688,,0.0,0.3799972534179688,58.92011734732543
27,27,27,27,ARWR,2019-11-08,42.099998474121094,42.11999893188477,39.31999969482422,40.0,1165500,2.5,,0.0,2.5,72.00029388641495
28,28,28,28,ARWR,2019-11-11,42.93999862670898,43.40999984741211,41.11999893188477,41.72000122070313,1044000,0.8400001525878906,,0.0,0.8400001525878906,75.07691157471207
29,29,29,29,ARWR,2019-11-12,45.2750015258789,45.849998474121094,42.90499877929688,43.22999954223633,1896600,2.335002899169922,,0.0,2.335002899169922,81.5716589887706
30,30,30,30,ARWR,2019-11-13,48.5099983215332,48.86999893188477,44.43999862670898,45.40999984741211,2640200,3.234996795654297,1.0,0.0,3.234996795654297,86.99093110343512
